category_id,category_name
MLA13508,Películas
MLA7841,Series de TV
MLA1228,Otros
MLA455528,Abrigos
MLA3114,Accesorios de Moda
MLA109276,Bermudas y Shorts
MLA417226,Blusas
MLA109026,Calzado
MLA95955,Calzas
MLA417218,Camisas
MLA109254,Enteritos
MLA110761,"Equipaje, Bolsos y Carteras"
MLA12554,Indumentaria Laboral y Escolar
MLA455550,Kimonos
MLA413460,Lotes de Ropa
MLA109282,"Pantalones, Jeans y Joggings"
MLA373771,Polleras
MLA109042,"Remeras, Musculosas y Chombas"
MLA6839,Ropa Deportiva
MLA109278,Ropa Interior y de Dormir
MLA1455,Ropa y Calzado para Bebés
MLA109089,Trajes
MLA430281,Trajes de Baño
MLA373770,Vestidos
MLA1911,Otros
MLA5395,Cuidado de la Salud
MLA6556,Equipamiento Médico
MLA29912,Masajes
MLA435066,Movilidad
MLA401562,Ortopedia
MLA8830,Suplementos Alimenticios
MLA43719,Terapias Alternativas
MLA409463,Otros
MLA414050,Asesoramiento Contable y Legal
MLA10514,Belleza y Cuidado Personal
MLA414051,Comunicación y diseño
MLA43986,Cursos y Clases
MLA91058,Delivery
MLA1550,Fiestas y Eventos
MLA122264,"Fotografía, Música y Cine"
MLA122258,Hogar y Construcción
MLA56666,Imprenta
MLA9007,Mantenimiento de Vehículos
MLA111029,Medicina y Salud
MLA91088,Ropa y Moda
MLA11798,Servicios para Mascotas
MLA91083,Servicios para Oficinas
MLA122201,Tecnología
MLA9038,Transporte
MLA1229,Viajes y Turismo
MLA1898,Otros Servicios
MLA24673,Cotillón
MLA403648,Decoración para Fiestas
MLA413646,Descartables para Fiestas
MLA24790,Disfraces
MLA435284,"Espuma, Serpentina y Confeti"
MLA412184,Invitaciones y Tarjetas
MLA100778,Kits Imprimibles para Fiestas
MLA412009,Props para Photo Booths
MLA10056,Souvenirs
MLA24693,Otros
MLA455033,Ácido Clorhídrico
MLA2818,Adultos
MLA2335,Artículos para Fumadores
MLA455535,Categoría de prueba
MLA406028,Coberturas Extendidas
MLA417785,Criptomonedas
MLA1740,Esoterismo
MLA401316,Gift Cards
MLA432903,Hornos Crematorios
MLA73672,Insumos para Tatuajes
MLA433536,Kits de Criminalística
MLA433022,Licencias para Taxis
MLA413190,Mangas de Viento
MLA421364,Pirotecnia
MLA3530,Otros
MLA86379,Alarmas para Motos
MLA434708,Alforjas
MLA11090,Baúles y Anclajes
MLA437263,Caballetes
MLA4712,Cascos
MLA414018,Cubre Amortiguadores
MLA414014,Cubre Manos
MLA429403,Cubre Rayos
MLA86380,Defensas
MLA429624,Emblemas
MLA430629,Fundas para Asientos
MLA416885,Fundas para Cuatriciclos
MLA22297,Fundas para Motos
MLA11076,Indumentaria y Calzado
MLA379647,Intercomunicadores
MLA437256,Lingas de Equipaje
MLA22204,Lingas y Trabas
